text,label
"Очень понравился сервис, все быстро и вежливо",positive
"Ужасный опыт, больше никогда не буду пользоваться",negative
"Все было нормально, но могли бы сделать быстрее",neutral
"Отличное качество и быстрая доставка",positive
"Полная ерунда, трата времени и денег",negative
"Поддержка не отвечает, ничего не работает",negative
"Хороший продукт за свою цену",positive
"Нормально, но без восторга",neutral
"Мне все понравилось, рекомендую",positive
"Отвратительный сервис, никому не советую",negative
